"stop_id","stop_name","stop_lon","stop_lat"
"8070185","Alveslohe",9.916375,53.791456
"8077275","Alzenau Burg",9.07434,50.087928
"8077274","Alzenau Nord",9.051385,50.089443
"8007275","Alzenau(Unterfr)",9.065603,50.088716
"8000007","Alzey",8.109749,49.7502
"8000558","Alzey Süd",8.118732,49.738134
"8007474","Alzey West",8.107255,49.740978
"8000566","Amberg",11.862902,49.447616
"8070802","Amerang",12.306297,47.985835
"8011029","Ammern",10.458086,51.233346
"8000575","Amorbach",9.223147,49.645609
"8000576","Ampfing",12.410919,48.253949
"8011038","Amsdorf",11.71979,51.463561
"8079075","Amstetten(W) Lokalbahn",9.873959,48.577852
"8000577","Amstetten(Württ)",9.872965,48.578328
"8011039","Amtshainersdorf",14.232364,50.966322
"8000331","Andernach",7.404839,50.434542
"8010004","Angermünde",13.996361,53.015221
"8000579","Angermund",6.781857,51.330748
"8011042","Angern-Rogätz",11.759535,52.338464
"8000580","Angersbach",9.44726,50.63077
"8011043","Angersdorf",11.903139,51.460407
"8011044","Anklam",13.701827,53.856102
"8011045","Annaberg-Buchholz Mitte",12.999078,50.566791
"8010005","Annaberg-Buchholz Süd",12.997404,50.555886
"8011047","Annaberg-Buchholz unterer Bf",12.998209,50.579379
"8011048","Annaburg",13.032757,51.72868
"8000582","Annweiler am Trifels",7.966149,49.205386
"8005257","Annweiler-Sarnstall",7.937192,49.208725
"8000584","Anrath",6.45023,51.285536
"8000009","Ansbach",10.578239,49.298032
"8011049","Antonsthal",12.755449,50.500096
"8000588","Anwanden",10.930396,49.411692
"8000589","Anzefahr",8.85959,50.845731
"8000590","Anzenkirchen",13.021996,48.434739
"8007831","Apensen",9.612345,53.441667
"8079092","Äpfingen",9.853409,48.152625
"8011051","Apolda",11.526136,51.03094
"8000596","Appenweier",7.97319,48.541461
"8000597","Ardey",7.727176,51.481163
"8011053","Arensdorf(Köthen)",12.007416,51.709511
"8011054","Arenshausen",9.968639,51.375166
"8000599","Arfurt(Lahn)",8.211079,50.406403
"8000602","Armsheim",8.074113,49.808372
"8000603","Arnbach",11.344044,48.34132
"8000605","Arnsberg(Westf)",8.067965,51.405662
"8000606","Arnschwang",12.8116,49.274608
"8010006","Arnsdorf(Dresden)",13.982212,51.092807
"8010007","Arnstadt Hbf",10.948262,50.841939
"8011055","Arnstadt Süd",10.954958,50.831084
"8007343","Arrach",13.002804,49.195364
"8000611","Arsbeck",6.206563,51.152006
"8012440","Artern",11.310757,51.36324
"8000613","Arzberg(Oberfr)",12.197692,50.054633
"8000010","Aschaffenburg Hbf",9.143697,49.980557
"8000618","Aschaffenburg Hochschule",9.160416,49.974445
"8000619","Aschaffenburg Süd",9.152586,49.968465
"8000621","Aschau(Chiemgau)",12.325564,47.779106
"8000011","Ascheberg(Holst)",10.339481,54.148462
"8000623","Ascheberg(Westf)",7.600749,51.782991
"8000624","Aschendorf",7.337153,53.052179
"8010009","Aschersleben",11.465689,51.757122
"8000627","Ashausen",10.145564,53.368693
"8000630","Asperg",9.147797,48.907359
