"stop_id","stop_name","stop_lon","stop_lat"
"80006944","Martensdorf (Kr VR), Martensdorf",12.93025,54.30092
"80006865","Kalsow, Kalsow",11.57835,53.9257
"80006745","Crivitz, Crivitz",11.64507,53.57252
"80001813","Neustrelitz, Hauptbahnhof",13.0746,53.35926
"80007127","Wüstenfelde (b Grimmen), Wüstenfelde",13.13961,54.23027
"80006730","Burg Stargard, Burg Stargard (Meckl)",13.30322,53.49959
"80007063","Sponholz, Sponholz",13.3664,53.56386
"80006870","Kühlungsborn, Ostseebad Kühlungsborn West",11.72716,54.1465
"80006938","Mirow (Meckl), Mirow",12.82076,53.27043
"80006937","Miltzow, Miltzow",13.20101,54.19926
"80004623","Barth, Barth",12.72646,54.36235
"80006858","Jeeser, Jeeser",13.2588,54.16455
"80006713","Brügge (Prign), Brügge (Prign)",12.22921,53.25628
"80007141","Zirtow, Zirtow-Leussow",12.88692,53.28104
"80006814","Groß Quassow, Groß Quassow",13.00385,53.31482
"80006851","Hornstorf (Meckl), Hornstorf",11.53467,53.90669
"80001761","Greifswald, Greifswald",13.37026,54.09293
"80021978","Wesenberg (Meckl), Weißer See",12.94866,53.28306
"80007114","Wesenberg (Meckl), Wesenberg",12.96274,53.2867
"80020334","Stralsund, Stralsund-Grünhufe",13.04393,54.3043
"80006833","Greifswald, Greifswald Süd",13.39666,54.07644
"80006740","Cammin b Neubrandenb, Cammin (Meckl)",13.29965,53.43903
"80004752","Moidentin, Bahnhof Moidentin",11.48192,53.80607
"80006720","Blankensee (Meckl), Blankensee (Meckl)",13.26291,53.40817
"80025044","Stralsund, Alte Rostocker Str.",13.07637,54.30898
"80001843","Stralsund, Hauptbahnhof",13.07732,54.30862
"80004754","Dorf Mecklenburg, Dorf Mecklenburg",11.47134,53.84293
"80007073","Sukow (b Schwerin), Sukow (b Schwerin)",11.55956,53.55479
"80007065","Spornitz, Spornitz",11.71098,53.41235
"80001786","Bad Kleinen, Bad Kleinen",11.46692,53.76697
"80004625","Stralsund, Bahnhof Rügendamm",13.10752,54.30532
"80006798","Groß Kiesow, Groß Kiesow",13.48061,54.01372
"80004755","Wismar, Wismar",11.46943,53.89683
"80013073","Stralsund, Hafen",13.09631,54.31706
"80006776","Falkenhagen (Prign), Gewerbepark Prignitz",12.21475,53.20575
"80006762","Dütschow, Dütschow",11.67857,53.40194
"80006690","Altefähr, Altefähr",13.14106,54.3229
"80006981","Plate (Meckl), Plate (Meckl)",11.50702,53.55321
"80004622","Züssow, Züssow",13.54819,53.97388
"80007117","Wittstock (Dosse), Wittstock (Dosse)",12.47891,53.16062
"80004797","Lübstorf, Lübstorf",11.41132,53.72888
"80006946","Neetzka, Neetzka",13.50083,53.53352
"80006904","Liebenthal (Prign), Liebenthal (Prignitz)",12.39359,53.15131
"80006841","Heiligengrabe, Heiligengrabe",12.34053,53.14968
"80001834","Schwerin, Hauptbahnhof",11.40745,53.63474
"80004751","Bobitz, Bobitz",11.3628,53.80453
"80020364","Schwerin, Bahnhof Mitte",11.40536,53.62691
"80006867","Klein Bünzow, Klein Bünzow",13.62244,53.92366
"80006863","Karlsburg (b Greifswald), Karlsburg",13.6098,53.98245
"80006757","Dossow (Prign), Dossow (Prign)",12.52089,53.12121
"80007055","Schwerin, Schwerin-Lankow",11.36954,53.65665
"80006987","Pritzwalk, Pritzwalk",12.18453,53.14574
"80006951","Neustadt-Glewe, Neustadt-Glewe",11.59377,53.37764
"80007129","Schwerin, Schwerin-Wüstmark",11.39963,53.58405
"80007015","Rambin (Rügen), Rambin (Rügen)",13.20781,54.35343
"80004017","Schwerin, Bahnhof Görries",11.38493,53.60938
"80007059","Schwerin, Schwerin-Margaretenhof",11.36098,53.65855
"80021544","Pritzwalk, Westbahnhof",12.16426,53.14461
"80006968","Oertzenhof (Meckl), Oertzenhof",13.57312,53.51808
"80007077","Schwerin, Schwerin-Warnitz",11.34557,53.6617
"80004016","Schwerin, Südbahnhof",11.37663,53.57427
